	title	category
0	US FDA approves MannKind's diabetes therapy Afrezza	m
1	UPDATE 1-New online service disruptions in China; activists see HK protest link	b
2	Your First Tweet Was Probably Better Than These Celebrities'	t
3	Kanye West reveals struggle of interracial relationship with Kim Kardashian… as  ...	e
4	Treichl wants to stay Erste CEO despite record loss	b
5	Prince Jackson says his father Michael was 'the best'	e
6	One Squirrel Managed To Cause $300K In Damages To Building	b
7	Credit Suisse says not found anything materially untoward in its forex trading	b
8	PRESS DIGEST - Hong Kong - June 27	b
9	Delivered by drone to your doorstep: Amazon CEO Jeff Bezos says courier of the  ...	b
10	CANADA STOCKS-TSX ends up on Valeant bid, CP optimism	b
11	Demi Lovato - Demi Lovato had it easier than Miley	e
12	European shares slip, Vodafone drops after results	b
13	Gymnast Kacy Catanzaro Absolutely Crushes 'American Ninja Warrior' Obstacle  ...	e
14	Michael Jace charged with murder 3 days after his wife was found shot-dead	e
15	UPDATE 1-Saudi Arabia announces jump in new cases of deadly MERS virus	m
16	RPT-Nikkei rises to 5-month high on strong US manufacturing data	b
17	Curly Kate's pretty in pink! Duchess of Cambridge delights her army of flag  ...	e
18	UPDATE 1-Telus names CEO as Entwistle becomes executive chairman	b
19	Tyler The Creator - Tyler The Creator Dashed To Dallas Gig After Arrest	e
20	Action camera-maker GoPro's shares jump 26 pct in debut	b
21	Nikkei snaps 3-day winning streak as market awaits US payrolls	b
22	"Idina Menzel And John Travolta Are Still ""Buddies"" Despite Oscar Faux Pas"	e
23	First-Borns and Rebirth: My Own and All of Us, Facing Passover	e
24	Emperor penguin population to slide due Antarctic climate change	t
25	Piers Morgan Criticises US Gun Laws On Last CNN Show	e
26	Whole Foods nightmare as company that provides them beef recalls 4000  ...	m
27	Racy Subway poster for breast enhancement sparks MTA investigation	b
28	Amazon to buy live-streaming game site Twitch: WSJ	t
29	BlackBerry revenue plunges 64 percent, shares drop	b
30	'Orange Is The New Black' Star Kate Mulgrew Has A Strange New Project In The  ...	e
31	"What Does Lindsay Lohan's ""Ex List"" Mean For Her Fragile Comeback?"	e
32	Austria's Eurovision entry Conchita Wurst splits opinion ahead of semifinal	e
33	Tom Hiddleston Shows Off His Pipes As A Singing Pirate In Disney's 'The Pirate  ...	e
34	UPDATE 1-Greek central bank chief Provopoulos says wants second term	b
35	Emmys exalt old favorites over TV's shiny newcomers	e
36	Global stocks up on central bank support hopes; euro rebounds	b
37	Mila Kunis - Mila Kunis: 'Ashton Kutcher's Proposal Was Best Day Of My Life'	e
38	UPDATE 1-McDonald's shareholders approve chain's executive compensation	b
39	Andrew Garfield and Emma Stone get kissing lesson from Chris Martin on SNL	e
40	Vietnam furious as they accuse Chinese ship of deliberately sinking fishing boat  ...	b
41	Comic film 'Neighbors' pits party-over against party-on	e
42	GLOBAL MARKETS-Wall Street gloom stifles Asian shares, dollar dips	b
43	Harry Potter - Rupert Grint To Make Broadway Debut In It's Only A Play	e
44	Twitter forced to shut down Tweetdeck app amid major security alert	t
45	Oscars party organizers move annual event from the Beverly Hills Hotel as  ...	e
46	Critical lashing doesn't stop Transformers	e
47	Facebook buys Moves app in bid to take on Fitbit and Nike	t
48	Why I Won't Ban 'Bossy'	e
49	Guinea Says All Departing Airport Passengers Being Screened For Ebola	m
50	Fed's Bullard says prefers bond-buying to end in October	b
51	Nikkei hits 3-wk high on US data, Renesas jumps on Apple report	b
52	'Transcendence' Passed Over For Critics' Praise: What's Wrong With Johnny  ...	e
53	First Lady Michelle Obama To Appear On 'Nashville'	e
54	Candy Crush Brings Inflated IPO Market Back To Earth	b
55	One Hundred Years of Solitude author died on April 17 aged 87	e
56	Valerie Harper - Valerie Harper: 'I Am Not Cancer-free'	e
57	UPDATE 2-Yelp's business account growth falls short of expectations	b
58	Zac Efron and rumored girlfriend Halston Sage cuddle up at Neighbors premiere	e
59	'Once Upon A Time' Co-Stars, Ginnifer Goodwin and Josh Dallas, Get Married	e
60	'It's what the people want!' James Franco defends his semi-nude selfies as he  ...	e
61	Michael C. Hall shows up to support Idina Menzel at the opening night of  ...	e
62	Corey Hawkins - Movie Bosses Announce Nwa Biopic Cast	e
63	Processed foods such as sausages or bacon found to greatly increase chance of  ...	m
64	Demi Lovato - Demi Lovato Chastises Paparazzi For Bullying Tactics	e
65	ACM Awards 2014 Red Carpet Was Filled With Revealing Prom Dresses  ...	e
66	Supreme Court Justices Limit Existing EPA Global Warming Rules	b
67	UPDATE 1-GM adds 218000 older small cars to growing recall list	t
68	GLOBAL MARKETS-World stocks, copper and oil fall after weak China exports	b
69	Justin Bieber - Justin Bieber Shares Video Of Tom Hanks Dancing At Manager's  ...	e
70	Microsoft ends flirtation with Hollywood and original shows: source	t
71	UPDATE 4-Cement makers Lafarge, Holcim agree merger plan -source	b
72	UPDATE 1-Developer China Vanke in talks to attract strategic investors	b
73	Johnny Depp - Johnny Depp Busted By Police In Electric Sports Car	e
74	Kendall Jenner brushes off Billboards flub as she and Khloe Kardashian jet off to  ...	e
75	TE Connectivity to buy Measurement Specialties for $1.7 bln	b
76	UPDATE 1-Spacewalkers replace failed computer outside space station	t
77	US STOCKS SNAPSHOT-Wall St ends higher; Internet shares gain	b
78	Jon Favreau On 'Chef' & Why He Still Likes Doing 'Big Movies'	e
79	'Mad Men' Season 7 Secrets: Creator Matt Weiner On The Drama's Farewell  ...	e
80	UPDATE 1-Kerry says Russia-China gas deal not linked to Ukraine	b
81	Amazing 'See-Through' Mice Seen As Aid To Study Of Anatomy	m
82	The Hole in Microsoft Explorer is Bigger Than You Think	t
83	Bobby Womack has died	e
84	General Motors apologize for deaths tied to parts they knew were faulty	b
85	Ministers are powerless to stop Pfizer deal warns Cable: Business Secretary  ...	b
86	"After Crew Member's Death, Director And Producers Of ""Midnight Rider"" Face  ..."	e
87	5 Myths About High-Frequency Trading	b
88	Mickey Rooney, a Hollywood icon	e
89	WRAPUP 11-China spots new possible plane debris in southern Indian Ocean	b
90	Elisabeth Moss - Elisabeth Moss: Mad Men end will be 'freaky'	e
91	COMMODITIES-China fears hit copper, oil; Shanghai commodities slump	b
92	Former TV exec Garth Ancier sues former male model who accused him of sex  ...	e
93	"Mick Jagger Issues Single Statement Regarding ""Lover And Best Friend"" L'Wren  ..."	e
94	British Model Emma Appleton Claimed She Was Propositioned By Terry  ...	e
95	UPDATE 1-LyondellBasell stops buying Kurdish crude amid dispute	b
96	Surgeons To Test Procedure That Suspends Patients Between Life And Death	m
97	Kim vs Khloe: The Kardashian sisters post sexy selfies within minutes of each  ...	e
98	Almost All Of The World's Biggest News Organizations Have Been Targeted By  ...	t
99	US STOCKS SNAPSHOT-S&P 500, Nasdaq rise after strong results	b
100	Oprah gives stepmom 60 days to vacate $1.4m Tennessee home after she  ...	e
101	"UPDATE 2-France says mooted BNP Paribas' $10 bln US fine ""unreasonable"""	b
102	Up to 100 passengers on board doomed MH17 'were experts headed for  ...	m
103	Kevin Sharp Dead: Country Music Star Dies At Age 43	e
104	Google's 'right to be forgotten' requests begin after EU court rules that personal  ...	t
105	Robert Downey Jr - Robert Downey Jr. Pays Tribute To Richard Attenborough	e
106	OkCupid Proudly Admits It Experiments On People All The Time	t
107	Kim Kardashian marches past waiting fans as she leaves Paris	e
108	Developer China Vanke says in talks to attract strategic investors	b
109	How AstraZeneca escaped Pfizer's clutches this time	b
110	UPDATE 2-KISS, Nirvana, Hall and Oates inducted by Rock and Roll Hall of Fame	e
111	UPDATE 1-China June exports grow less than expected, doubts over economy  ...	b
112	Mary-Kate Olsen shows off engagement sparkler with Olivier Sarkozy	e
113	The children's TV presenter who hid his secret life as a serial sex attacker	e
114	Got Beef? Rapper T.I. and Floyd Mayweather Brawl In Las Vegas Fatburger  ...	e
115	Kathleen Sebelius' LGBT legacy	m
116	UPDATE 3-US govt to sell most of Ally Financial stake in IPO	b
117	FOREX-Dollar slips post-Fed, kiwi at all-time high	b
118	US STOCKS SNAPSHOT-Wall St ends down, with Nasdaq below 4000	b
119	Chris Martin blasts 'completely untrue' reports that he had an affair with a TV  ...	e
120	GLOBAL MARKETS-Stocks tumble on Wall St gloom, Ukraine tensions	b
121	UPDATE 1-China anti-graft watchdog visits Roche amid pharma crackdown	b
122	BOJ keeps policy on hold, maintains upbeat view on outlook	b
123	U.S. Pilots Were Previously Warned Not To Fly Over Parts Of Ukraine	b
124	TIMELINE-Men's Wearhouse seals deal to buy Jos. A. Bank	b
125	Best Dressed Met Gala 2014: See All The A-Listers Who Proved That Fashion  ...	e
126	BHP Billiton leads UK miners higher, FTSE advances	b
127	Beyonce and Jay Z take Blue Ivy shopping in The Hamptons... where 'friend' Kim  ...	e
128	Not learning his lesson? Wiz Khalifa posts a picture of himself smoking after  ...	e
129	Taiwan's yuan deposits inch up to 290 bln yuan as of May	b
130	UPDATE 3-US disrupts major hacking, extortion ring; Russian charged	t
131	ECB FOCUS-Stronger euro drowns out ECB's message to keep rates low for  ...	b
132	Ginnifer Goodwin shows off her pregnancy figure in skinny jeans as she steps  ...	e
133	The Best Tributes To House Music 'Father' Frankie Knuckles	e
134	Jem and the Holograms: With The Cast Announced What Do We Think So Far?	e
135	Shortage Leads Airlines To Drop Limes From Beverage Service	b
136	Many Smokers Are Unaware Of These Tobacco Truths	m
137	Deals of the day- Mergers and acquisitions	b
138	Why Joan Deserves More Attention On 'Mad Men'	e
139	UPDATE 1-Little hope for eight trapped Honduran miners	b
140	REFILE-UPDATE 2-S. African anti-apartheid author, Nobel winner Gordimer dies	e
141	"Nicki Minaj Addresses VMA Wardrobe Malfunction - ""Nipple Didn't Come Out To  ..."	e
142	RPT-Anchor Diane Sawyer to step down from ABC World News show	e
143	UPDATE 2-Etihad says agreed principal terms to buy 49 pct of Alitalia	b
144	FOREX-Dollar firms in early Asian trade, market eyes Ukraine	b
145	Charlize Theron reveals how friendship with Sean Penn became love	e
146	UK kids' TV star Rolf Harris jailed for child abuse	e
147	TAKE A LOOK-Asia c.banks: BOJ stands pat, keeps upbeat view despite Japan  ...	b
148	Bryan Singer - Bryan Singer Hit By Another Sexual Assault Lawsuit	e
149	Jay Leno Weighs In On David Letterman's Retirement	e
